Country,Year,Number below $2.15 a day
East Asia and Pacific (PIP),2009,282791232
East Asia and Pacific (PIP),2010,248371728
East Asia and Pacific (PIP),2011,196950208
East Asia and Pacific (PIP),2012,165565152
East Asia and Pacific (PIP),2013,87159456
East Asia and Pacific (PIP),2014,69630136
East Asia and Pacific (PIP),2015,47982504
East Asia and Pacific (PIP),2016,34177824
East Asia and Pacific (PIP),2017,24736234
East Asia and Pacific (PIP),2018,24097254
East Asia and Pacific (PIP),2019,20605832
East Asia and Pacific (PIP),2020,22254000
East Asia and Pacific (PIP),2021,22985748
East Asia and Pacific (PIP),2022,20283438
East Asia and Pacific (PIP),2023,19007742
East Asia and Pacific (PIP),2024,17648544
Eastern and Southern Africa (PIP),2009,232074096
Eastern and Southern Africa (PIP),2010,231276960
Eastern and Southern Africa (PIP),2011,230651152
Eastern and Southern Africa (PIP),2012,233356416
Eastern and Southern Africa (PIP),2013,236622432
Eastern and Southern Africa (PIP),2014,242314480
Eastern and Southern Africa (PIP),2015,250309152
Eastern and Southern Africa (PIP),2016,260231920
Eastern and Southern Africa (PIP),2017,269366368
Eastern and Southern Africa (PIP),2018,277888320
Eastern and Southern Africa (PIP),2019,287295296
Eastern and Southern Africa (PIP),2020,304763520
Eastern and Southern Africa (PIP),2021,310728032
Eastern and Southern Africa (PIP),2022,314038080
Eastern and Southern Africa (PIP),2023,322668640
Eastern and Southern Africa (PIP),2024,327413344
Europe and Central Asia (PIP),2009,5754215
Europe and Central Asia (PIP),2010,5518578
Europe and Central Asia (PIP),2011,4344642
Europe and Central Asia (PIP),2012,4173766
Europe and Central Asia (PIP),2013,3379319
Europe and Central Asia (PIP),2014,4900220
Europe and Central Asia (PIP),2015,4106254
Europe and Central Asia (PIP),2016,3254845
Europe and Central Asia (PIP),2017,3535745
Europe and Central Asia (PIP),2018,2154778
Europe and Central Asia (PIP),2019,2263796
Europe and Central Asia (PIP),2020,2594085
Europe and Central Asia (PIP),2021,2655681
Europe and Central Asia (PIP),2022,2421391
Europe and Central Asia (PIP),2023,2360855
Europe and Central Asia (PIP),2024,2246757
Latin America and the Caribbean (PIP),2009,38711824
Latin America and the Caribbean (PIP),2010,34568220
Latin America and the Caribbean (PIP),2011,32270520
Latin America and the Caribbean (PIP),2012,30561198
Latin America and the Caribbean (PIP),2013,27600272
Latin America and the Caribbean (PIP),2014,26286070
Latin America and the Caribbean (PIP),2015,25029874
Latin America and the Caribbean (PIP),2016,26624324
Latin America and the Caribbean (PIP),2017,26956204
Latin America and the Caribbean (PIP),2018,26791534
Latin America and the Caribbean (PIP),2019,27002604
Latin America and the Caribbean (PIP),2020,24765342
Latin America and the Caribbean (PIP),2021,29456650
Latin America and the Caribbean (PIP),2022,22612772
Latin America and the Caribbean (PIP),2023,22208032
Latin America and the Caribbean (PIP),2024,22070648
Middle East and North Africa (PIP),2009,7468776
Middle East and North Africa (PIP),2010,6478703
Middle East and North Africa (PIP),2011,7126338
Middle East and North Africa (PIP),2012,8017550
Middle East and North Africa (PIP),2013,9264557
Middle East and North Africa (PIP),2014,10381193
Middle East and North Africa (PIP),2015,14038597
Middle East and North Africa (PIP),2016,17319662
