Student ID,Course,Grade
1,Math,F
1,Science,C
1,History,A
1,English,F
1,Physical Education,C
2,Math,F
2,Science,A
2,History,B
2,English,C
2,Physical Education,A
3,Math,F
3,Science,A
3,History,A
3,English,A
3,Physical Education,C
4,Math,D
4,Science,B
4,History,F
4,English,D
4,Physical Education,B
5,Math,C
5,Science,C
5,History,C
5,English,A
5,Physical Education,C
6,Math,A
6,Science,C
6,History,C
6,English,C
6,Physical Education,F
7,Math,D
7,Science,F
7,History,A
7,English,D
7,Physical Education,B
8,Math,F
8,Science,F
8,History,A
8,English,C
8,Physical Education,B
9,Math,A
9,Science,C
9,History,D
9,English,F
9,Physical Education,B
10,Math,F
10,Science,A
10,History,B
10,English,F
10,Physical Education,F
11,Math,C
11,Science,C
11,History,B
11,English,B
11,Physical Education,D
12,Math,F
12,Science,B
12,History,A
12,English,D
12,Physical Education,B
13,Math,A
13,Science,B
13,History,C
13,English,A
13,Physical Education,C
14,Math,C
14,Science,A
14,History,A
14,English,A
14,Physical Education,F
15,Math,B
15,Science,C
15,History,A
15,English,F
15,Physical Education,B
16,Math,D
16,Science,C
16,History,A
16,English,B
16,Physical Education,A
17,Math,F
17,Science,C
17,History,F
17,English,A
17,Physical Education,C
18,Math,C
18,Science,D
18,History,B
18,English,D
18,Physical Education,F
19,Math,B
19,Science,D
19,History,D
19,English,C
19,Physical Education,A
20,Math,D
20,Science,F
20,History,D
20,English,A
20,Physical Education,F
21,Math,A
21,Science,A
21,History,A
21,English,A
21,Physical Education,F
22,Math,A
22,Science,C
22,History,F
22,English,F
22,Physical Education,D
23,Math,C
23,Science,F
23,History,B
23,English,C
23,Physical Education,D
24,Math,A
24,Science,F
24,History,D
24,English,A
24,Physical Education,A
25,Math,F
25,Science,B
25,History,A
25,English,C
25,Physical Education,F
26,Math,A
26,Science,A
26,History,B
26,English,A
26,Physical Education,A
27,Math,A
27,Science,A
27,History,D
27,English,F
27,Physical Education,C
28,Math,A
28,Science,A
28,History,D
28,English,B
28,Physical Education,F
29,Math,A
29,Science,B
29,History,A
29,English,C
29,Physical Education,C
30,Math,A
30,Science,D
30,History,C
30,English,B
30,Physical Education,F
31,Math,A
31,Science,F
31,History,B
31,English,F
31,Physical Education,D
32,Math,A
32,Science,D
32,History,D
32,English,F
32,Physical Education,C
33,Math,D
33,Science,A
33,History,F
33,English,D
33,Physical Education,C
34,Math,D
34,Science,B
34,History,C
34,English,D
34,Physical Education,C
35,Math,F
35,Science,D
35,History,C
35,English,D
35,Physical Education,F
36,Math,D
36,Science,F
36,History,D
36,English,A
36,Physical Education,C
37,Math,F
37,Science,A
37,History,A
37,English,A
37,Physical Education,B
38,Math,D
38,Science,D
38,History,D
38,English,C
38,Physical Education,B
39,Math,B
39,Science,D
39,History,A
39,English,C
39,Physical Education,A
40,Math,B
40,Science,B
40,History,F
40,English,B
40,Physical Education,D
41,Math,D
41,Science,B
41,History,C
41,English,A
41,Physical Education,C
42,Math,D
42,Science,C
42,History,B
42,English,C
42,Physical Education,F
43,Math,F
43,Science,A
43,History,D
43,English,A
43,Physical Education,C
44,Math,D
44,Science,A
44,History,D
44,English,C
44,Physical Education,D
45,Math,F
45,Science,F
45,History,F
45,English,D
45,Physical Education,C
46,Math,D
46,Science,B
46,History,C
46,English,C
46,Physical Education,F
47,Math,B
47,Science,D
47,History,B
47,English,C
47,Physical Education,F
48,Math,C
48,Science,B
48,History,B
48,English,B
48,Physical Education,B
49,Math,D
49,Science,C
49,History,D
49,English,B
49,Physical Education,A
50,Math,F
50,Science,C
50,History,B
50,English,D
50,Physical Education,F
51,Math,F
51,Science,A
51,History,A
51,English,C
51,Physical Education,C
52,Math,C
52,Science,C
52,History,D
52,English,F
52,Physical Education,A
53,Math,D
53,Science,D
53,History,F
53,English,A
53,Physical Education,D
54,Math,A
54,Science,F
54,History,F
54,English,A
54,Physical Education,A
55,Math,B
55,Science,A
55,History,D
55,English,A
55,Physical Education,B
56,Math,D
56,Science,A
56,History,F
56,English,D
56,Physical Education,B
57,Math,C
57,Science,F
